Uniprot ID,Biological Process (GO),Cellular Component (GO),Gene,Protein,Selected CC,Top Enriched BP
P55268,astrocyte development;axon extension involved in regeneration;axon guidance;cell adhesion;extracellular matrix organization;metanephric glomerular basement membrane development;metanephric glomerular visceral epithelial cell development;neuromuscular junction development;retina development in camera-type eye;Schwann cell development;visual perception,extracellular,LAMB2,Laminin subunit beta-2,extracellular,extracellular matrix organization
P27169,aromatic compound catabolic process;carboxylic acid catabolic process;dephosphorylation;organophosphate catabolic process;phosphatidylcholine metabolic process;positive regulation of binding;positive regulation of cholesterol efflux;positive regulation of transporter activity;response to external stimulus;response to toxic substance,extracellular,PON1,Serum paraoxonase/arylesterase 1,extracellular,dephosphorylation
P12821,angiotensin catabolic process in blood;angiotensin maturation;arachidonic acid secretion;blood vessel remodeling;cellular protein metabolic process;hematopoietic stem cell differentiation;hormone catabolic process;kidney development;mononuclear cell proliferation;peptide catabolic process;regulation of blood pressure;regulation of renal output by angiotensin;regulation of smooth muscle cell migration;regulation of systemic arterial blood pressure by renin-angiotensin;regulation of vasoconstriction;regulation of vasodilation,endosome;plasma membrane;extracellular,ACE,Angiotensin-converting enzyme,extracellular,cellular protein metabolic process
P04066,fucose metabolic process;glycosaminoglycan catabolic process;glycoside catabolic process,cytoplasm;lysosome,FUCA1,Tissue alpha-L-fucosidase,lysosome,glycosaminoglycan catabolic process
Q13228,protein transport,cytosol;extracellular;nucleus,SELENBP1,Selenium-binding protein 1,extracellular,protein transport
Q9UHL4,NOTDEFINED,cytoplasm;cytosol;lysosome,DPP7,Dipeptidyl peptidase 2,lysosome,
Q9NVP1,ATP catabolic process,nucleus,DDX18,ATP-dependent RNA helicase DDX18,nucleus,ATP catabolic process
Q7Z6Z7,base-excision repair;cell differentiation;histone ubiquitination;protein monoubiquitination;protein polyubiquitination;protein ubiquitination involved in ubiquitin-dependent protein catabolic process,cytoplasm;nucleus,HUWE1,E3 ubiquitin-protein ligase HUWE1,nucleus,protein polyubiquitination
P78417,cellular response to arsenic-containing substance;glutathione derivative biosynthetic process;L-ascorbic acid metabolic process;negative regulation of ryanodine-sensitive calcium-release channel activity;positive regulation of ryanodine-sensitive calcium-release channel activity;positive regulation of skeletal muscle contraction by regulation of release of sequestered calcium ion;regulation of cardiac muscle contraction by regulation of the release of sequestered calcium ion;regulation of release of sequestered calcium ion into cytosol by sarcoplasmic reticulum;small molecule metabolic process;xenobiotic catabolic process;xenobiotic metabolic process,cytoplasm;cytosol,GSTO1,Glutathione S-transferase omega-1,cytosol,small molecule metabolic process
P61158,asymmetric cell division;cellular component movement;cilium morphogenesis;establishment or maintenance of cell polarity;Fc-gamma receptor signaling pathway involved in phagocytosis;innate immune response;meiotic cytokinesis;positive regulation of actin filament polymerization;positive regulation of dendrite morphogenesis;positive regulation of filopodium assembly;positive regulation of lamellipodium assembly;positive regulation of neuron differentiation;regulation of myosin II filament organization;response to antibiotic;response to carbohydrate stimulus;spindle localization,cytoplasm;cytosol;golgi apparatus,ACTR3,Actin-related protein 3,golgi apparatus,innate immune response
Q99715,cell adhesion;collagen catabolic process;collagen fibril organization;extracellular matrix disassembly;extracellular matrix organization;skeletal system development,endoplasmic reticulum;extracellular,COL12A1,Collagen alpha-1(XII) chain,extracellular,extracellular matrix organization
P35527,epidermis development;intermediate filament organization;skin development,extracellular;cytoplasm;nucleus,KRT9,Keratin - type I cytoskeletal 9,extracellular,epidermis development
P16403,nucleosome assembly;nucleosome positioning,nucleus,HIST1H1C,Histone H1.2,nucleus,nucleosome assembly
P04003,complement activation - classical pathway;innate immune response;negative regulation of complement activation - classical pathway;positive regulation of protein catabolic process;regulation of complement activation,extracellular;plasma membrane,C4BPA,C4b-binding protein alpha chain,extracellular,innate immune response
P07225,blood coagulation;cellular protein metabolic process;fibrinolysis;innate immune response;leukocyte migration;negative regulation of endopeptidase activity;peptidyl-glutamic acid carboxylation;platelet activation;platelet degranulation;post-translational protein modification;proteolysis;regulation of complement activation,extracellular;endoplasmic reticulum;golgi apparatus,PROS1,Vitamin K-dependent protein S,extracellular,blood coagulation
P78347,embryo development;negative regulation of angiogenesis;reduction of cytosolic calcium ion concentration;signal transduction;transcription from RNA polymerase II promoter;transcription initiation from RNA polymerase II promoter,cytoplasm;nucleus,GTF2I,General transcription factor II-I,nucleus,signal transduction
O94760,arginine catabolic process;citrulline metabolic process;nitric oxide mediated signal transduction;positive regulation of angiogenesis;positive regulation of nitric oxide biosynthetic process;regulation of systemic arterial blood pressure,mitochondrion,DDAH1,N(G) -N(G)-dimethylarginine dimethylaminohydrolase 1,mitochondrion,positive regulation of nitric oxide biosynthetic process
P61769,antigen processing and presentation of exogenous peptide antigen via MHC class I;antigen processing and presentation of exogenous peptide antigen via MHC class I - TAP-dependent;antigen processing and presentation of exogenous peptide antigen via MHC class I - TAP-independent;antigen processing and presentation of exogenous protein antigen via MHC class Ib - TAP-dependent;antigen processing and presentation of peptide antigen via MHC class I;cytokine-mediated signaling pathway;innate immune response;interferon-gamma-mediated signaling pathway;positive regulation of T cell mediated cytotoxicity;protein refolding;regulation of defense response to virus by virus;regulation of immune response;response to cadmium ion;response to drug;response to molecule of bacterial origin;retina homeostasis;T cell differentiation in thymus;viral process,cytoplasm;endosome;endoplasmic reticulum;plasma membrane;extracellular;golgi apparatus,B2M,Beta-2-microglobulin,extracellular,innate immune response
P06702,actin cytoskeleton reorganization;activation of cysteine-type endopeptidase activity involved in apoptotic process;autophagy;cell-cell signaling;chemokine production;chronic inflammatory response;cytokine production;defense response to bacterium;defense response to fungus;inflammatory response;innate immune response;leukocyte migration involved in inflammatory response;neutrophil aggregation;neutrophil chemotaxis;positive regulation of cell growth;positive regulation of inflammatory response;positive regulation of intrinsic apoptotic signaling pathway;positive regulation of NF-kappaB transcription factor activity;regulation of cytoskeleton organization;regulation of integrin biosynthetic process;response to ethanol;response to lipopolysaccharide;response to zinc ion;sequestering of zinc ion;signal transduction,cytoplasm;cytosol;extracellular;nucleus;plasma membrane,S100A9,Protein S100-A9,extracellular,innate immune response
P12277,cellular chloride ion homeostasis;cellular nitrogen compound metabolic process;creatine metabolic process;small molecule metabolic process;substantia nigra development,cytosol;mitochondrion,CKB,Creatine kinase B-type,mitochondrion,small molecule metabolic process
O75475,establishment of integrated proviral latency;mRNA 5_-splice site recognition;positive regulation of transcription from RNA polymerase II promoter;regulation of transcription - DNA-dependent;response to heat;response to oxidative stress;transcription - DNA-dependent;viral process,cytosol;nucleus,PSIP1,PC4 and SFRS1-interacting protein,nucleus,viral process
Q92673,cell death;cell migration;cell proliferation;cholesterol metabolic process;lipid transport;negative regulation of MAP kinase activity;negative regulation of neurogenesis;negative regulation of neuron death;negative regulation of protein binding;negative regulation of protein oligomerization;positive regulation of endocytic recycling;positive regulation of protein catabolic process;positive regulation of protein exit from endoplasmic reticulum;post-Golgi vesicle-mediated transport;protein maturation;protein retention in Golgi apparatus;protein targeting;protein targeting to Golgi;protein targeting to lysosome;receptor-mediated endocytosis;regulation of smooth muscle cell migration;signal transduction,endosome;endoplasmic reticulum;extracellular;golgi apparatus;plasma membrane;nucleus,SORL1,Sortilin-related receptor,extracellular,signal transduction
Q9BV40,autophagic vacuole fusion;membrane organization;post-Golgi vesicle-mediated transport;protein complex assembly;protein transport;regulation of endocytosis;vesicle fusion;viral entry into host cell,endosome;lysosome;mitochondrion;plasma membrane;cytoplasm,VAMP8,Vesicle-associated membrane protein 8,plasma membrane,membrane organization
O60282,metabolic process;microtubule-based movement;mRNA transport;organelle organization,cytoplasm,KIF5C,Kinesin heavy chain isoform 5C,cytoplasm,microtubule-based movement
P07357,complement activation;complement activation - alternative pathway;complement activation - classical pathway;cytolysis;immune response;innate immune response;regulation of complement activation,extracellular;plasma membrane,C8A,Complement component C8 alpha chain,extracellular,innate immune response
P07360,complement activation - alternative pathway;complement activation - classical pathway;cytolysis;innate immune response;regulation of complement activation,extracellular;plasma membrane,C8G,Complement component C8 gamma chain,extracellular,innate immune response
Q09666,protein oligomerization;regulation of RNA splicing;regulation of voltage-gated calcium channel activity,cytoplasm;cytosol;lysosome;nucleus;plasma membrane,AHNAK,Neuroblast differentiation-associated protein AHNAK,plasma membrane,regulation of RNA splicing
P17174,2-oxoglutarate metabolic process;aspartate biosynthetic process;aspartate catabolic process;aspartate metabolic process;biosynthetic process;carbohydrate metabolic process;cellular amino acid biosynthetic process;cellular amino acid metabolic process;cellular nitrogen compound metabolic process;cellular response to insulin stimulus;fatty acid homeostasis;gluconeogenesis;glucose metabolic process;glutamate catabolic process to 2-oxoglutarate;glutamate catabolic process to aspartate;glutamate metabolic process;glycerol biosynthetic process;L-methionine salvage from methylthioadenosine;oxaloacetate metabolic process;polyamine metabolic process;response to glucocorticoid stimulus;small molecule metabolic process;sulfur amino acid metabolic process,cytoplasm;cytosol;lysosome;nucleus,GOT1,Aspartate aminotransferase - cytoplasmic,lysosome,small molecule metabolic process
P49915,glutamine metabolic process;nucleobase-containing small molecule metabolic process;purine nucleobase biosynthetic process;purine nucleobase metabolic process;purine ribonucleoside monophosphate biosynthetic process;small molecule metabolic process,cytoplasm;cytosol,GMPS,GMP synthase [glutamine-hydrolyzing],cytosol,small molecule metabolic process
Q9H0W9,metabolic process,nucleus,C11orf54,Ester hydrolase C11orf54,nucleus,metabolic process
Q9NR56,alternative mRNA splicing - via spliceosome;embryonic limb morphogenesis;in utero embryonic development;mRNA splice site selection;myoblast differentiation;nervous system development;regulation of alternative mRNA splicing - via spliceosome;regulation of RNA splicing;RNA splicing;skeletal muscle tissue development,cytoplasm;nucleus,MBNL1,Muscleblind-like protein 1,cytoplasm,myoblast differentiation
P00390,cell redox homeostasis;glutathione metabolic process;nucleobase-containing small molecule interconversion;nucleobase-containing small molecule metabolic process;small molecule metabolic process,cytosol;mitochondrion,GSR,Glutathione reductase - mitochondrial,mitochondrion,small molecule metabolic process
P20151,extracellular matrix disassembly;extracellular matrix organization,extracellular,KLK2,Kallikrein-2,extracellular,extracellular matrix organization
P05452,bone mineralization;cellular response to organic substance;cellular response to transforming growth factor beta stimulus;ossification;positive regulation of plasminogen activation;skeletal system development,cytoplasm;extracellular,CLEC3B,Tetranectin,extracellular,skeletal system development
P06396,actin filament polymerization;actin filament severing;aging;apoptotic process;barbed-end actin filament capping;cellular component disassembly involved in execution phase of apoptosis;cellular response to cadmium ion;cilium morphogenesis;oligodendrocyte development;phosphatidylinositol-mediated signaling;regulation of cell adhesion;response to ethanol;response to folic acid;tissue regeneration;vesicle-mediated transport,cytoplasm;extracellular;cytosol,GSN,Gelsolin,extracellular,apoptotic process
P04181,cellular amino acid biosynthetic process;cellular nitrogen compound metabolic process;L-proline biosynthetic process;protein hexamerization;small molecule metabolic process;visual perception,mitochondrion,OAT,Ornithine aminotransferase - mitochondrial,mitochondrion,small molecule metabolic process
P05164,aging;defense response;defense response to fungus;hydrogen peroxide catabolic process;hypochlorous acid biosynthetic process;low-density lipoprotein particle remodeling;negative regulation of apoptotic process;negative regulation of growth of symbiont in host;oxidation-reduction process;removal of superoxide radicals;respiratory burst involved in defense response;response to food;response to lipopolysaccharide;response to mechanical stimulus;response to oxidative stress;response to yeast,lysosome;extracellular;mitochondrion;nucleus,MPO,Myeloperoxidase,extracellular,negative regulation of apoptotic process
Q06481,cellular copper ion homeostasis;cholesterol metabolic process;embryo development;extracellular matrix organization;forebrain development;G-protein coupled receptor signaling pathway;locomotory behavior;mating behavior;midbrain development;neuromuscular process controlling balance;regulation of epidermal growth factor-activated receptor activity;regulation of protein binding;suckling behavior,nucleus;plasma membrane,APLP2,Amyloid-like protein 2,plasma membrane,extracellular matrix organization
P52566,actin cytoskeleton organization;cellular component movement;immune response;multicellular organismal development;negative regulation of cell adhesion;regulation of catalytic activity;regulation of small GTPase mediated signal transduction;Rho protein signal transduction;small GTPase mediated signal transduction,cytoplasm;cytosol,ARHGDIB,Rho GDP-dissociation inhibitor 2,cytosol,cellular component movement
Q7KZF4,gene silencing by RNA;osteoblast differentiation;regulation of transcription - DNA-dependent;transcription - DNA-dependent;viral process,cytoplasm;mitochondrion;nucleus,SND1,Staphylococcal nuclease domain-containing protein 1,mitochondrion,viral process
Q02383,sexual reproduction,extracellular;nucleus,SEMG2,Semenogelin-2,extracellular,sexual reproduction
P04279,insemination,extracellular;nucleus,SEMG1,Semenogelin-1,extracellular,insemination
P15144,angiogenesis;angiotensin maturation;cell differentiation;cellular protein metabolic process;viral process,cytosol;cytoplasm;plasma membrane;extracellular;lysosome,ANPEP,Aminopeptidase N,extracellular,cellular protein metabolic process
P09972,aging;apoptotic process;carbohydrate metabolic process;epithelial cell differentiation;fructose 1 -6-bisphosphate metabolic process;fructose metabolic process;gluconeogenesis;glucose metabolic process;glycolysis;organ regeneration;protein heterotetramerization;protein homotetramerization;response to hypoxia;response to organic cyclic compound;response to organonitrogen compound;small molecule metabolic process,cytoplasm;cytosol;mitochondrion,ALDOC,Fructose-bisphosphate aldolase C,mitochondrion,small molecule metabolic process
P30085,CDP biosynthetic process;dCDP biosynthetic process;dUDP biosynthetic process;nucleobase-containing small molecule interconversion;nucleobase-containing small molecule metabolic process;nucleoside diphosphate phosphorylation;nucleoside triphosphate biosynthetic process;ovulation cycle process;phthalate metabolic process;pyrimidine ribonucleotide biosynthetic process;small molecule metabolic process;UDP biosynthetic process;UMP biosynthetic process,cytoplasm;cytosol;nucleus,CMPK1,UMP-CMP kinase,cytosol,small molecule metabolic process
Q14914,arachidonic acid metabolic process;cyclooxygenase pathway;leukotriene metabolic process;lipoxin metabolic process;response to toxic substance;small molecule metabolic process,cytoplasm,PTGR1,Prostaglandin reductase 1,cytoplasm,small molecule metabolic process
O14672,cell death;cell-cell signaling;collagen catabolic process;constitutive protein ectodomain proteolysis;epidermal growth factor receptor signaling pathway;extracellular matrix disassembly;extracellular matrix organization;in utero embryonic development;integrin-mediated signaling pathway;membrane protein ectodomain proteolysis;monocyte activation;negative regulation of cell adhesion;Notch receptor processing;Notch signaling pathway;PMA-inducible membrane protein ectodomain proteolysis;positive regulation of cell growth;positive regulation of cell migration;positive regulation of cell proliferation;positive regulation of T cell chemotaxis;protein phosphorylation;response to tumor necrosis factor,cytoplasm;golgi apparatus;nucleus;endoplasmic reticulum;plasma membrane,ADAM10,Disintegrin and metalloproteinase domain-containing protein 10,plasma membrane,extracellular matrix organization
Q9NTK5,ATP catabolic process,cytoplasm;nucleus,OLA1,Obg-like ATPase 1,cytoplasm,ATP catabolic process
P48594,negative regulation of endopeptidase activity;negative regulation of peptidase activity;regulation of proteolysis,cytoplasm;extracellular,SERPINB4,Serpin B4,extracellular,negative regulation of endopeptidase activity
O95994,lung goblet cell differentiation;mucus secretion,endoplasmic reticulum;extracellular;mitochondrion,AGR2,Anterior gradient protein 2 homolog,extracellular,mucus secretion
P0C0S5,cellular response to estradiol stimulus;nucleosome assembly;positive regulation of transcription from RNA polymerase II promoter,nucleus,H2AFZ,Histone H2A.Z,nucleus,nucleosome assembly
P01019,activation of NF-kappaB-inducing kinase activity;activation of phospholipase C activity;aging;angiotensin maturation;angiotensin mediated vasoconstriction involved in regulation of systemic arterial blood pressure;angiotensin-mediated drinking behavior;artery smooth muscle contraction;astrocyte activation;blood vessel development;blood vessel remodeling;branching involved in ureteric bud morphogenesis;catenin import into nucleus;cell growth involved in cardiac muscle cell development;cell-cell signaling;cell-matrix adhesion;cellular lipid metabolic process;cellular protein metabolic process;cellular response to mechanical stimulus;cellular sodium ion homeostasis;cytokine secretion;ERK1 and ERK2 cascade;establishment of blood-nerve barrier;excretion;extracellular matrix organization;fibroblast proliferation;G-protein coupled receptor signaling pathway;G-protein coupled receptor signaling pathway coupled to cGMP nucleotide second messenger;kidney development;low-density lipoprotein particle remodeling;negative regulation of angiogenesis;negative regulation of cell growth;negative regulation of cell proliferation;negative regulation of endopeptidase activity;negative regulation of neuron apoptotic process;negative regulation of neurotrophin TRK receptor signaling pathway;negative regulation of tissue remodeling;nitric oxide mediated signal transduction;ovarian follicle rupture;peristalsis;phospholipase C-activating G-protein coupled receptor signaling pathway;positive regulation of activation of JAK2 kinase activity;positive regulation of branching involved in ureteric bud morphogenesis;positive regulation of cardiac muscle hypertrophy;positive regulation of cellular protein metabolic process;positive regulation of cholesterol esterification;positive regulation of cytokine production;positive regulation of endothelial cell migration;positive regulation of epidermal growth factor receptor signaling pathway;positive regulation of extracellular matrix constituent secretion;positive regulation of extrinsic apoptotic signaling pathway;positive regulation of fatty acid biosynthetic process;positive regulation of fibroblast proliferation;positive regulation of inflammatory response;positive regulation of macrophage derived foam cell differentiation;positive regulation of MAPK cascade;positive regulation of multicellular organism growth;positive regulation of NAD(P)H oxidase activity;positive regulation of NF-kappaB transcription factor activity;positive regulation of organ growth;positive regulation of peptidyl-tyrosine phosphorylation;positive regulation of phosphatidylinositol 3-kinase cascade;positive regulation of protein tyrosine kinase activity;positive regulation of reactive oxygen species metabolic process;positive regulation of renal sodium excretion;positive regulation of superoxide anion generation;positive regulation of transcription - DNA-dependent;regulation of blood vessel size by renin-angiotensin;regulation of blood volume by renin-angiotensin;regulation of calcium ion transport;regulation of cell growth;regulation of cell proliferation;regulation of long-term neuronal synaptic plasticity;regulation of norepinephrine secretion;regulation of proteolysis;regulation of renal output by angiotensin;regulation of renal sodium excretion;regulation of vasoconstriction;renal response to blood flow involved in circulatory renin-angiotensin regulation of systemic arterial blood pressure;renal system process;renin-angiotensin regulation of aldosterone production;response to cold;response to muscle activity involved in regulation of muscle adaptation;response to salt stress;small molecule metabolic process;smooth muscle cell differentiation;smooth muscle cell proliferation;stress-activated MAPK cascade;uterine smooth muscle contraction;vasodilation,extracellular,AGT,Angiotensinogen,extracellular,small molecule metabolic process
Q16769,cellular protein modification process;peptidyl-pyroglutamic acid biosynthetic process - using glutaminyl-peptide cyclotransferase,NOT DEFINED,QPCT,Glutaminyl-peptide cyclotransferase,,cellular protein modification process
Q6PEY2,microtubule-based process;protein polymerization,cytoplasm;nucleus,TUBA3E,Tubulin alpha-3E chain,cytoplasm,protein polymerization
P00492,adenine salvage;central nervous system neuron development;cerebral cortex neuron differentiation;cytolysis;dendrite morphogenesis;dopamine metabolic process;GMP catabolic process;GMP salvage;grooming behavior;guanine salvage;hypoxanthine metabolic process;hypoxanthine salvage;IMP metabolic process;IMP salvage;locomotory behavior;lymphocyte proliferation;nucleobase-containing small molecule metabolic process;positive regulation of dopamine metabolic process;protein homotetramerization;purine nucleobase metabolic process;purine nucleotide biosynthetic process;purine ribonucleoside salvage;purine-containing compound salvage;response to amphetamine;small molecule metabolic process;striatum development,cytoplasm;cytosol,HPRT1,Hypoxanthine-guanine phosphoribosyltransferase,cytosol,small molecule metabolic process
O43493,NOTDEFINED,golgi apparatus;nucleus;plasma membrane,TGOLN2,Trans-Golgi network integral membrane protein 2,plasma membrane,
P11717,insulin-like growth factor receptor signaling pathway;liver development;organ regeneration;positive regulation of apoptotic process;post-embryonic development;receptor-mediated endocytosis;response to retinoic acid;signal transduction;spermatogenesis,endosome;extracellular;plasma membrane;lysosome;nucleus;cytoplasm;golgi apparatus,IGF2R,Cation-independent mannose-6-phosphate receptor,extracellular,signal transduction
P19652,acute-phase response;regulation of immune system process;transport,extracellular,ORM2,Alpha-1-acid glycoprotein 2,extracellular,acute-phase response
O75363,NOTDEFINED,cytoplasm,BCAS1,Breast carcinoma-amplified sequence 1,cytoplasm,
Q8TBX8,NOTDEFINED,cytoplasm,PIP4K2C,Phosphatidylinositol 5-phosphate 4-kinase type-2 gamma,cytoplasm,
P43490,cell-cell signaling;NAD biosynthetic process;NAD metabolic process;nicotinamide metabolic process;positive regulation of cell proliferation;positive regulation of nitric-oxide synthase biosynthetic process;positive regulation of transcription from RNA polymerase II promoter;signal transduction;small molecule metabolic process;vitamin metabolic process;water-soluble vitamin metabolic process,cytosol;extracellular;nucleus,NAMPT,Nicotinamide phosphoribosyltransferase,extracellular,small molecule metabolic process
P24855,apoptotic process,extracellular;nucleus,DNASE1,Deoxyribonuclease-1,extracellular,apoptotic process
P13796,actin filament bundle assembly;cell migration;organ regeneration;protein kinase A signaling cascade;regulation of intracellular protein transport;T cell activation involved in immune response,cytoplasm;cytosol;extracellular;plasma membrane,LCP1,Plastin-2,extracellular,organ regeneration
Q9BZE4,GTP catabolic process;negative regulation of cell migration;negative regulation of cell proliferation;negative regulation of cell-cell adhesion;negative regulation of collagen binding;negative regulation of DNA replication;negative regulation of protein ubiquitination;osteoblast differentiation;protein stabilization;regulation of cyclin-dependent protein serine/threonine kinase activity;ribosome biogenesis,cytoplasm;golgi apparatus;nucleus,GTPBP4,Nucleolar GTP-binding protein 1,golgi apparatus,protein stabilization
Q9ULZ3,activation of cysteine-type endopeptidase activity involved in apoptotic process;activation of innate immune response;apoptotic process;cellular response to interleukin-1;cellular response to lipopolysaccharide;cellular response to tumor necrosis factor;defense response to Gram-negative bacterium;defense response to virus;inflammatory response;innate immune response;interleukin-1 beta production;intrinsic apoptotic signaling pathway by p53 class mediator;intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator;macropinocytosis;myeloid dendritic cell activation;myeloid dendritic cell activation involved in immune response;negative regulation of I-kappaB kinase/NF-kappaB cascade;negative regulation of interferon-beta production;negative regulation of NF-kappaB transcription factor activity;negative regulation of protein serine/threonine kinase activity;nucleotide-binding domain - leucine rich repeat containing receptor signaling pathway;positive regulation of actin filament polymerization;positive regulation of activated T cell proliferation;positive regulation of adaptive immune response;positive regulation of antigen processing and presentation of peptide antigen via MHC class II;positive regulation of apoptotic process;positive regulation of chemokine secretion;positive regulation of cysteine-type endopeptidase activity;positive regulation of cysteine-type endopeptidase activity involved in apoptotic process;positive regulation of defense response to virus by host;positive regulation of ERK1 and ERK2 cascade;positive regulation of extrinsic apoptotic signaling pathway;positive regulation of interferon-gamma production;positive regulation of interleukin-1 beta secretion;positive regulation of interleukin-10 secretion;positive regulation of interleukin-6 production;positive regulation of interleukin-6 secretion;positive regulation of interleukin-8 secretion;positive regulation of JNK cascade;positive regulation of NF-kappaB transcription factor activity;positive regulation of phagocytosis;positive regulation of release of cytochrome c from mitochondria;positive regulation of sequence-specific DNA binding transcription factor activity;positive regulation of T cell activation;positive regulation of T cell migration;positive regulation of tumor necrosis factor production;regulation of inflammatory response;regulation of intrinsic apoptotic signaling pathway;regulation of protein stability;regulation of Rac GTPase activity;regulation of tumor necrosis factor-mediated signaling pathway;signal transduction;tumor necrosis factor-mediated signaling pathway,cytoplasm;cytosol;endoplasmic reticulum;extracellular;mitochondrion;nucleus,PYCARD,Apoptosis-associated speck-like protein containing a CARD,extracellular,innate immune response
P31949,negative regulation of cell proliferation;negative regulation of DNA replication;signal transduction,cytoplasm;extracellular;nucleus,S100A11,Protein S100-A11,extracellular,signal transduction
Q99536,negative regulation of mitochondrial fusion,mitochondrion,VAT1,Synaptic vesicle membrane protein VAT-1 homolog,mitochondrion,negative regulation of mitochondrial fusion
Q9H3Z4,cell death;negative regulation of neuron apoptotic process;neurotransmitter secretion;synaptic transmission,lysosome;mitochondrion;plasma membrane,DNAJC5,DnaJ homolog subfamily C member 5,plasma membrane,cell death
P02763,acute-phase response;inflammatory response;regulation of immune system process;transport,extracellular,ORM1,Alpha-1-acid glycoprotein 1,extracellular,acute-phase response
P48745,regulation of cell growth;regulation of gene expression,extracellular,NOV,Protein NOV homolog,extracellular,regulation of cell growth
P01620,complement activation;complement activation - classical pathway;Fc-epsilon receptor signaling pathway;Fc-gamma receptor signaling pathway involved in phagocytosis;immune response;innate immune response;regulation of immune response,extracellular;plasma membrane,P01620,Ig kappa chain V-III region SIE,extracellular,innate immune response
P30711,glutathione derivative biosynthetic process;glutathione metabolic process;oxidation-reduction process;response to drug;response to organic cyclic compound;small molecule metabolic process;xenobiotic metabolic process,cytosol,GSTT1,Glutathione S-transferase theta-1,cytosol,small molecule metabolic process
Q9BV36,intracellular protein transport;melanocyte differentiation;melanosome localization;protein targeting,cytoplasm;microtubule organising centre,MLPH,Melanophilin,microtubule organising centre,protein targeting
Q13510,cell death;ceramide metabolic process;glycosphingolipid metabolic process;lung development;response to organic substance;small molecule metabolic process;sphingolipid metabolic process,lysosome,ASAH1,Acid ceramidase,lysosome,small molecule metabolic process
P04259,ectoderm development,NOT DEFINED,KRT6B,Keratin - type II cytoskeletal 6B,,ectoderm development
P50895,cell adhesion;cell-matrix adhesion;signal transduction,plasma membrane,BCAM,Basal cell adhesion molecule,plasma membrane,signal transduction
P06703,axonogenesis;positive regulation of fibroblast proliferation;signal transduction,cytoplasm;cytosol;plasma membrane;nucleus,S100A6,Protein S100-A6,plasma membrane,signal transduction
P50395,protein transport;regulation of small GTPase mediated signal transduction;signal transduction;small GTPase mediated signal transduction,cytoplasm;cytosol;golgi apparatus,GDI2,Rab GDP dissociation inhibitor beta,golgi apparatus,signal transduction
P01700,complement activation;complement activation - classical pathway;Fc-epsilon receptor signaling pathway;Fc-gamma receptor signaling pathway involved in phagocytosis;immune response;innate immune response;regulation of immune response,extracellular;plasma membrane,P01700,Ig lambda chain V-I region HA,extracellular,innate immune response
P04217,NOTDEFINED,extracellular,A1BG,Alpha-1B-glycoprotein,extracellular,
Q9UHI8,heart trabecula formation;integrin-mediated signaling pathway;kidney development;negative regulation of cell proliferation;ovulation from ovarian follicle,extracellular;cytoplasm,ADAMTS1,A disintegrin and metalloproteinase with thrombospondin motifs 1,extracellular,negative regulation of cell proliferation
P55259,antigen transcytosis by M cells in mucosal-associated lymphoid tissue,plasma membrane;extracellular,GP2,Pancreatic secretory granule membrane major glycoprotein GP2,extracellular,antigen transcytosis by M cells in mucosal-associated lymphoid tissue
P19440,arachidonic acid metabolic process;cellular amino acid metabolic process;cysteine biosynthetic process;glutamate metabolic process;glutathione biosynthetic process;glutathione catabolic process;glutathione derivative biosynthetic process;glutathione metabolic process;leukotriene biosynthetic process;leukotriene metabolic process;regulation of immune system process;regulation of inflammatory response;small molecule metabolic process;spermatogenesis;xenobiotic metabolic process;zymogen activation,extracellular;plasma membrane,GGT1,Gamma-glutamyltranspeptidase 1,extracellular,small molecule metabolic process
Q63HN8,ATP catabolic process;protein autoubiquitination;protein ubiquitination,cytoplasm,RNF213,E3 ubiquitin-protein ligase RNF213,cytoplasm,ATP catabolic process
P56192,gene expression;methionyl-tRNA aminoacylation;tRNA aminoacylation for protein translation,cytoplasm;cytosol;mitochondrion,MARS,Methionine--tRNA ligase - cytoplasmic,mitochondrion,gene expression
Q92797,cell adhesion;mRNA polyadenylation;positive regulation of protein dephosphorylation,cytoplasm;nucleus;plasma membrane,SYMPK,Symplekin,plasma membrane,cell adhesion
O00429,apoptotic process;cellular component disassembly involved in execution phase of apoptosis;dynamin polymerization involved in mitochondrial fission;endocytosis;GTP catabolic process;membrane fission involved in mitochondrial fission;membrane fusion;mitochondrial fission;mitochondrial fragmentation involved in apoptotic process;mitochondrion morphogenesis;necroptosis;peroxisome fission;positive regulation of apoptotic process;positive regulation of intrinsic apoptotic signaling pathway;positive regulation of mitochondrial fission;positive regulation of protein secretion;positive regulation of release of cytochrome c from mitochondria;protein homotetramerization;regulation of mitochondrion organization;regulation of peroxisome organization;regulation of protein oligomerization;release of cytochrome c from mitochondria,cytoplasm;cytosol;golgi apparatus;mitochondrion;peroxisome,DNM1L,Dynamin-1-like protein,mitochondrion,apoptotic process
P09467,carbohydrate metabolic process;cellular response to drug;cellular response to magnesium ion;dephosphorylation;fructose 6-phosphate metabolic process;fructose metabolic process;gluconeogenesis;glucose metabolic process;negative regulation of cell growth;negative regulation of glycolysis;negative regulation of Ras protein signal transduction;protein homotetramerization;regulation of gluconeogenesis;small molecule metabolic process,cytoplasm;cytosol,FBP1,Fructose-1 -6-bisphosphatase 1,cytosol,small molecule metabolic process
